epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,515.215,1.24126,3.02532,1.70827,0.36838,0.35382,0.25132,0.1529,1.52632,2.15379,2.15428,0.00333213,0.00333213,0.00333213
2,1013.75,1.18819,2.26696,1.62707,0.46982,0.42311,0.36311,0.21404,1.56566,1.92838,2.17151,0.00653349,0.00653349,0.00653349
3,1493.04,1.22043,2.03665,1.64556,0.44781,0.43577,0.38209,0.24619,1.5506,1.88766,2.21771,0.00960285,0.00960285,0.00960285
4,1971.41,1.21404,1.92983,1.63682,0.53465,0.42033,0.43847,0.29349,1.46493,1.6793,2.07559,0.009406,0.009406,0.009406
5,2471.57,1.16011,1.79432,1.59193,0.57121,0.48422,0.49665,0.33466,1.42363,1.54155,2.02628,0.009208,0.009208,0.009208
6,2953.94,1.13223,1.70953,1.57146,0.58669,0.51816,0.5238,0.35887,1.41833,1.45521,2.00302,0.00901,0.00901,0.00901
7,3424.82,1.10891,1.64155,1.55199,0.52203,0.53981,0.55363,0.37694,1.38937,1.39273,1.97584,0.008812,0.008812,0.008812
8,3961.86,1.08889,1.60683,1.53636,0.59778,0.5318,0.5802,0.40232,1.36098,1.36869,1.93709,0.008614,0.008614,0.008614
9,4426.66,1.07927,1.56541,1.52775,0.59419,0.54958,0.5964,0.42385,1.30965,1.33239,1.88662,0.008416,0.008416,0.008416
10,4912.41,1.07278,1.54511,1.52183,0.59778,0.58014,0.60601,0.43051,1.30544,1.28805,1.88374,0.008218,0.008218,0.008218
11,5411.27,1.06084,1.51396,1.51338,0.607,0.56501,0.6138,0.43463,1.31457,1.27691,1.88395,0.00802,0.00802,0.00802
12,5922.28,1.05404,1.49727,1.50809,0.60677,0.58221,0.63006,0.44738,1.2906,1.24785,1.86076,0.007822,0.007822,0.007822
13,6425.71,1.04515,1.46978,1.49933,0.63317,0.59873,0.63745,0.45589,1.28217,1.2266,1.85128,0.007624,0.007624,0.007624
14,6902.7,1.03344,1.4542,1.49416,0.68002,0.56854,0.64511,0.46054,1.27325,1.21267,1.84137,0.007426,0.007426,0.007426
15,7386.14,1.0325,1.44144,1.48934,0.62937,0.6088,0.64386,0.46202,1.26672,1.20528,1.82675,0.007228,0.007228,0.007228
16,7863.62,1.02684,1.42597,1.48565,0.6267,0.60324,0.64615,0.46389,1.26641,1.19547,1.82811,0.00703,0.00703,0.00703
17,8319.43,1.01768,1.41291,1.48079,0.67564,0.57569,0.65204,0.46638,1.25651,1.19068,1.82515,0.006832,0.006832,0.006832
18,8773.03,1.01621,1.39382,1.47878,0.66732,0.59202,0.65832,0.47311,1.25373,1.18226,1.81943,0.006634,0.006634,0.006634
19,9287.19,1.00854,1.37553,1.47256,0.70115,0.57457,0.66287,0.47868,1.24657,1.17323,1.81265,0.006436,0.006436,0.006436
20,9817.63,1.00811,1.37544,1.47248,0.65985,0.61538,0.67014,0.48066,1.24643,1.1612,1.81243,0.006238,0.006238,0.006238
21,10487.8,1.00453,1.36196,1.46901,0.68784,0.59367,0.67204,0.4812,1.24609,1.15654,1.81174,0.00604,0.00604,0.00604
22,11181.8,0.997,1.35259,1.46408,0.67735,0.59858,0.67393,0.48326,1.24573,1.14951,1.80866,0.005842,0.005842,0.005842
23,12010.1,0.9921,1.34079,1.46233,0.6693,0.61253,0.6747,0.48509,1.24375,1.14198,1.80463,0.005644,0.005644,0.005644
24,12850.5,0.98868,1.33451,1.45759,0.68126,0.59751,0.67614,0.48627,1.24033,1.13657,1.79986,0.005446,0.005446,0.005446
25,13643.2,0.98167,1.32392,1.45499,0.67903,0.6056,0.67807,0.48764,1.23717,1.13303,1.7971,0.005248,0.005248,0.005248
26,14434.1,0.98158,1.3118,1.45317,0.67648,0.61072,0.67805,0.49003,1.23431,1.13072,1.79339,0.00505,0.00505,0.00505
27,15236.2,0.98112,1.31687,1.45225,0.68628,0.60396,0.67936,0.4916,1.23135,1.12761,1.79008,0.004852,0.004852,0.004852
28,15822.7,0.97486,1.30373,1.44953,0.6959,0.59304,0.68086,0.49251,1.23083,1.12371,1.78866,0.004654,0.004654,0.004654
29,16293.7,0.96965,1.29117,1.44443,0.68974,0.60058,0.68178,0.49413,1.22928,1.1195,1.78684,0.004456,0.004456,0.004456
30,16761.3,0.97017,1.28859,1.44448,0.68667,0.61323,0.68344,0.49405,1.22896,1.11493,1.78569,0.004258,0.004258,0.004258
31,17230.3,0.96489,1.26697,1.43923,0.68367,0.61006,0.68459,0.49369,1.22724,1.11067,1.78397,0.00406,0.00406,0.00406
32,17699.2,0.962,1.26455,1.43764,0.66725,0.62265,0.68556,0.49475,1.22563,1.10826,1.78176,0.003862,0.003862,0.003862
33,18168.2,0.95506,1.25273,1.43487,0.66749,0.62389,0.68686,0.4951,1.22361,1.10583,1.77986,0.003664,0.003664,0.003664
34,18635.5,0.95082,1.23955,1.43132,0.67038,0.62388,0.68848,0.49726,1.22215,1.10317,1.77845,0.003466,0.003466,0.003466
35,19111.8,0.95314,1.23952,1.43069,0.67469,0.62445,0.68922,0.49829,1.21996,1.09987,1.77622,0.003268,0.003268,0.003268
36,19608.5,0.94195,1.22643,1.42502,0.67692,0.62509,0.6906,0.49824,1.21812,1.09866,1.77412,0.00307,0.00307,0.00307
